"id"	"age"	"gender"	"education"	"marital_status"	"relationship"	"ethnicity"
"1"	33	17	"Male"	"5th to 6th"	"Never married"	"Other relative"	"White"
"2"	255	17	"Female"	"Some to college"	"Never married"	"Own child"	"Asian Pac Islander"
"3"	417	17	"Female"	"11th"	"Never married"	"Own child"	"White"
"4"	579	17	"Male"	"10th"	"Never married"	"Own child"	"White"
"5"	644	17	"Female"	"11th"	"Never married"	"Own child"	"Black"
"6"	656	17	"Male"	"11th"	"Never married"	"Own child"	"Black"
"7"	936	17	"Male"	"10th"	"Never married"	"Not in family"	"White"
"8"	1093	17	"Female"	"9th"	"Never married"	"Own child"	"White"
"9"	1146	17	"Female"	"11th"	"Never married"	"Unmarried"	"White"
"10"	1197	17	"Male"	"HS to grad"	"Never married"	"Other relative"	"White"
"11"	1454	17	"Male"	"7th to 8th"	"Never married"	"Other relative"	"Other"
"12"	1617	17	"Male"	"11th"	"Never married"	"Own child"	"White"
"13"	1629	17	"Male"	"10th"	"Never married"	"Other relative"	"White"
"14"	1823	17	"Male"	"10th"	"Never married"	"Other relative"	"White"
"15"	1968	17	"Male"	"11th"	"Never married"	"Own child"	"White"
"16"	2033	17	"Male"	"11th"	"Never married"	"Own child"	"White"
"17"	2221	17	"Female"	"9th"	"Never married"	"Other relative"	"Other"
"18"	2306	17	"Female"	"11th"	"Never married"	"Own child"	"White"
"19"	96	18	"Female"	"HS to grad"	"Never married"	"Own child"	"White"
"20"	655	18	"Female"	"11th"	"Never married"	"Own child"	"White"
"21"	766	18	"Female"	"HS to grad"	"Never married"	"Unmarried"	"Asian Pac Islander"
"22"	789	18	"Female"	"12th"	"Never married"	"Own child"	"Asian Pac Islander"
"23"	1122	18	"Male"	"5th to 6th"	"Never married"	"Other relative"	"White"
"24"	1228	18	"Male"	"9th"	"Never married"	"Own child"	"White"
"25"	1417	18	"Male"	"12th"	"Never married"	"Own child"	"White"
"26"	1432	18	"Male"	"HS to grad"	"Never married"	"Own child"	"White"
"27"	1457	18	"Male"	"5th to 6th"	"Never married"	"Other relative"	"White"
"28"	1793	18	"Male"	"7th to 8th"	"Never married"	"Own child"	"White"
"29"	1799	18	"Female"	"Some to college"	"Never married"	"Own child"	"Black"
"30"	2007	18	"Female"	"Some to college"	"Never married"	"Own child"	"White"
"31"	2043	18	"Male"	"11th"	"Never married"	"Own child"	"White"
