"id"	"Cambodia"	"Canada"	"China"	"Columbia"	"Cuba"	"Dominican Republic"	"Ecuador"	"El Salvador"	"France"	"Germany"	"Greece"	"Guatemala"	"Haiti"	"Holand Netherlands"	"Honduras"	"Hong"	"Hungary"	"India"	"Iran"	"Ireland"	"Italy"	"Jamaica"	"Japan"	"Laos"	"Mexico"	"Nicaragua"	"Outlying US"	"Peru"	"Philippines"	"Poland"	"Portugal"	"Puerto Rico"	"South"	"Taiwan"	"Thailand"	"Trinadad and Tobago"	"Vietnam"	"Yugoslavia"
"1"	1	NA	NA	NA	NA	"<=50K"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"<=50K"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3"	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	">50K"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"4"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"<=50K"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	">50K"	NA	NA	NA	NA	NA
"6"	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"<=50K"	NA	NA	NA	NA	NA	NA
"7"	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	">50K"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"8"	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"<=50K"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"9"	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"<=50K"	NA	NA	NA	NA	NA	NA
"10"	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"<=50K"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
