"id"	"governement_work"	"occupation"	"capital_gain"	"capital_loss"	"hours_per_week"
"1"	769	NA	NA	0	0	1
"2"	1652	"Private"	"Craft repair"	0	0	1
"3"	2509	"Private"	"Other service"	0	0	2
"4"	783	"Private"	"Prof specialty"	0	0	3
"5"	1174	"Self emp not inc"	"Prof specialty"	0	1668	3
"6"	2702	"Private"	"Exec managerial"	0	0	3
"7"	695	"Private"	"Craft repair"	0	0	4
"8"	890	"Self emp not inc"	"Prof specialty"	0	0	4
"9"	911	"Local gov"	"Prof specialty"	0	1648	4
"10"	1532	NA	NA	0	0	4
"11"	1539	NA	NA	0	0	5
"12"	1739	"Private"	"Other service"	0	0	5
"13"	2281	NA	NA	0	0	5
"14"	2554	NA	NA	0	0	5
"15"	556	"Private"	"Other service"	0	0	6
"16"	742	NA	NA	0	0	6
"17"	878	"Private"	"Adm clerical"	2964	0	6
"18"	1082	NA	NA	0	0	6
"19"	1235	"Private"	"Prof specialty"	0	0	6
"20"	2046	NA	NA	0	0	6
"21"	2178	"Private"	"Prof specialty"	0	0	6
"22"	528	"Private"	"Sales"	0	0	8
"23"	620	"Private"	"Other service"	0	0	8
"24"	629	"Private"	"Sales"	0	0	8
"25"	655	"Private"	"Sales"	0	0	8
"26"	898	"Self emp not inc"	"Craft repair"	0	0	8
"27"	1170	"Federal gov"	"Adm clerical"	0	0	8
"28"	1374	"Private"	"Priv house serv"	0	0	8
"29"	1491	"Private"	"Prof specialty"	0	0	8
"30"	1597	"Private"	"Handlers cleaners"	0	0	8
"31"	1682	"Private"	"Prof specialty"	0	0	8
"32"	1734	NA	NA	0	0	8
"33"	2342	"Private"	"Other service"	0	0	8
"34"	2691	"Self emp not inc"	"Craft repair"	15831	0	8
"35"	380	"State gov"	"Prof specialty"	0	0	10
"36"	454	"Private"	"Adm clerical"	0	0	10
"37"	579	"Private"	"Other service"	0	0	10
"38"	672	"Local gov"	"Prof specialty"	0	0	10
"39"	715	"State gov"	"Prof specialty"	0	0	10
"40"	787	"Private"	"Adm clerical"	0	0	10
"41"	943	"Self emp not inc"	"Prof specialty"	0	0	10
"42"	987	NA	NA	0	0	10
"43"	1032	"Private"	"Priv house serv"	0	0	10
"44"	1050	NA	NA	0	0	10
"45"	1051	NA	NA	0	0	10
"46"	1629	"Private"	"Handlers cleaners"	0	0	10
"47"	1657	"Private"	"Prof specialty"	0	0	10
"48"	1732	"Local gov"	"Prof specialty"	0	0	10
"49"	1752	NA	NA	0	0	10
"50"	1771	"Private"	"Tech support"	0	0	10
"51"	1883	"Local gov"	"Other service"	0	0	10
"52"	1912	"Private"	"Prof specialty"	0	0	10
"53"	2149	"Private"	"Sales"	0	0	10
"54"	2390	NA	NA	0	0	10
"55"	2595	NA	NA	0	0	10
"56"	2622	"Private"	"Other service"	0	0	10
"57"	2669	"Private"	"Prof specialty"	0	0	10
"58"	2672	"Private"	"Machine op inspct"	0	0	10
"59"	214	"Private"	"Machine op inspct"	0	0	11
"60"	2706	"Private"	"Tech support"	0	0	11
"61"	332	"Self emp not inc"	"Adm clerical"	0	0	12
"62"	361	NA	NA	0	0	12
"63"	370	"Private"	"Other service"	0	0	12
"64"	713	"Private"	"Priv house serv"	0	0	12
"65"	1146	"Private"	"Sales"	0	0	12
"66"	1176	"Private"	"Priv house serv"	0	0	12
"67"	1189	"Private"	"Other service"	0	0	12
"68"	1334	"Private"	"Farming fishing"	0	0	12
"69"	1851	NA	NA	0	0	12
"70"	2002	"State gov"	"Adm clerical"	0	0	12
"71"	2427	"Without pay"	"Adm clerical"	0	0	12
"72"	788	"Private"	"Adm clerical"	0	0	14
"73"	885	"Private"	"Adm clerical"	0	0	14
"74"	2356	NA	NA	0	0	14
"75"	2397	"Private"	"Other service"	0	0	14
"76"	2486	"Private"	"Handlers cleaners"	2829	0	14
"77"	28	"Private"	"Prof specialty"	0	0	15
"78"	391	"Self emp not inc"	"Transport moving"	0	0	15
"79"	621	"Private"	"Priv house serv"	0	1602	15
"80"	775	"Private"	"Sales"	0	0	15
"81"	1124	"Private"	"Prof specialty"	0	0	15
"82"	1362	"State gov"	"Adm clerical"	0	0	15
"83"	1443	"Private"	"Priv house serv"	0	0	15
"84"	1467	"Private"	"Prof specialty"	0	0	15
"85"	1761	NA	NA	0	0	15
"86"	1822	"Private"	"Other service"	0	0	15
"87"	1898	"Private"	"Adm clerical"	0	0	15
"88"	1959	"Private"	"Tech support"	0	0	15
"89"	2043	"Private"	"Other service"	0	0	15
"90"	2098	"Self emp not inc"	"Other service"	2580	0	15
"91"	2349	"Private"	"Sales"	0	0	15
"92"	2384	"Private"	"Prof specialty"	0	0	15
"93"	2388	"Self emp not inc"	"Other service"	0	0	15
"94"	2438	NA	NA	0	0	15
"95"	2441	"Federal gov"	"Other service"	0	0	15
"96"	2640	NA	NA	0	0	15
"97"	2	"Private"	"Other service"	0	0	16
"98"	156	"Private"	"Prof specialty"	0	0	16
"99"	288	"Private"	"Transport moving"	0	0	16
"100"	459	"Private"	"Adm clerical"	0	0	16
"101"	534	"Private"	"Priv house serv"	0	0	16
"102"	656	"Private"	"Other service"	0	0	16
"103"	765	NA	NA	0	0	16
"104"	1308	"Private"	"Adm clerical"	15831	0	16
"105"	1309	NA	NA	0	0	16
"106"	1407	"Private"	"Adm clerical"	0	0	16
"107"	2052	"Private"	"Farming fishing"	0	0	16
"108"	2429	"Private"	"Adm clerical"	0	0	16
"109"	155	NA	NA	0	0	17
"110"	852	"State gov"	"Prof specialty"	0	0	17
"111"	306	"Private"	"Sales"	0	0	18
"112"	1982	"Private"	"Sales"	0	0	18
"113"	2306	"Private"	"Sales"	1055	0	18
"114"	1260	"Private"	"Sales"	0	0	19
"115"	1386	"Private"	"Other service"	0	0	19
"116"	2247	"State gov"	"Prof specialty"	0	0	19
"117"	23	"Private"	"Adm clerical"	0	0	20
"118"	87	"Self emp not inc"	"Prof specialty"	0	0	20
"119"	177	NA	NA	0	0	20
"120"	191	"Private"	"Machine op inspct"	0	0	20
"121"	287	NA	NA	0	0	20
"122"	289	"Private"	"Machine op inspct"	0	0	20
"123"	326	"Self emp not inc"	"Other service"	0	0	20
"124"	417	"Local gov"	"Prof specialty"	0	0	20
"125"	487	"Private"	"Transport moving"	0	0	20
"126"	539	"Private"	"Adm clerical"	0	0	20
"127"	554	"Self emp not inc"	"Adm clerical"	0	0	20
"128"	566	"Private"	"Farming fishing"	0	0	20
"129"	595	"Self emp not inc"	"Prof specialty"	0	0	20
"130"	690	"State gov"	"Prof specialty"	0	0	20
"131"	740	"Private"	"Other service"	0	0	20
"132"	826	"Private"	"Other service"	0	0	20
"133"	861	"State gov"	"Prof specialty"	0	0	20
"134"	872	"State gov"	"Adm clerical"	0	0	20
"135"	905	"Private"	"Prof specialty"	0	0	20
"136"	914	"Private"	"Tech support"	0	0	20
"137"	915	"Private"	"Prof specialty"	0	0	20
"138"	933	"Private"	"Transport moving"	0	0	20
